Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_17_298.jpg;-4.48137;1;0;1.843816;100.964;87.44765;1.274095;53.87088;0.0006049948
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_17_365.jpg;-7.486592;1;0;1.902795;101.0343;87.53758;1.271878;53.21755;0.002273385
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_17_432.jpg;-10.49332;1;0;1.945079;101.1345;87.6574;1.268096;51.81398;359.9641
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_17_499.jpg;-13.48291;1;0;1.986142;101.2145;87.746;1.228999;50.36746;359.9068
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_17_566.jpg;-15;1;0;2.039977;101.2989;87.83265;1.141524;48.62472;359.8261
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_17_632.jpg;-12.03355;1;0;2.083751;101.4167;87.94757;0.9849972;46.444;359.7318
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_17_698.jpg;-9.0319;1;0;2.129327;101.509;88.03465;0.8853529;45.13858;359.6655
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_17_766.jpg;-5.996364;1;0;2.188722;101.6043;88.12319;0.8150132;44.135;359.615
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_17_832.jpg;-3.030526;1;0;2.23349;101.7351;88.24471;0.7819233;43.32821;359.5905
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_17_900.jpg;-0.001769811;1;0;2.276019;101.8356;88.33914;0.8063809;43.12523;359.6163
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_17_966.jpg;0;1;0;2.332696;101.9381;88.43613;0.8719579;43.10565;359.6669
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_18_033.jpg;0;0.8006792;0;2.373004;102.0779;88.56834;0.99146;43.12492;359.7634
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_18_100.jpg;0;0.6004108;0;2.404717;102.1843;88.66895;1.086658;43.14194;359.8453
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_18_165.jpg;0;0.3978765;0;2.431957;102.2914;88.7702;1.1691;43.1607;359.9283
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_18_233.jpg;0;0.1999539;0;2.441741;102.4345;88.90475;1.227694;43.17038;-0.0004232753
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_18_301.jpg;0;0;0;2.443276;102.5417;89.0043;1.211227;43.15388;-0.0003840705
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_18_366.jpg;0;0;0;2.433985;102.6478;89.10295;1.142096;43.13827;-0.0003832337
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_18_433.jpg;0;0;0;2.426418;102.7879;89.23324;0.9868748;43.11932;-0.0002467505
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_18_499.jpg;0;0;0;2.418835;102.8923;89.33017;0.8365976;43.10611;-3.978475E-05
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_18_565.jpg;0;0;0;2.408678;102.996;89.42657;0.6676613;43.09449;0.002205687
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_18_635.jpg;0;0;0;2.400947;103.1334;89.55457;0.4271614;43.085;0.01577017
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_18_700.jpg;0;0;0;2.393142;103.2359;89.65026;0.2444423;43.08261;0.03381967
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_18_767.jpg;-2.999071;0;0;2.382513;103.3388;89.74485;0.06256737;42.92373;0.02915518
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_18_835.jpg;-6.024301;0;0;2.373523;103.4782;89.86762;359.8322;42.19132;359.9443
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_18_901.jpg;-3.038771;0;0;2.364103;103.5834;89.95902;359.6979;41.65057;359.889
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_18_967.jpg;-0.03296088;0;0;2.352977;103.6882;90.05087;359.5935;41.39338;359.8695
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_19_035.jpg;0;0;0;2.34451;103.8273;90.1737;359.4883;41.3407;359.8818
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_19_101.jpg;0;0;0;2.336202;103.9316;90.26577;359.4364;41.34243;359.9071
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_19_168.jpg;0;0;0;2.325238;104.0357;90.35741;359.3906;41.34254;359.9262
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_19_236.jpg;0;0;0;2.316922;104.1743;90.47963;359.3621;41.34995;359.972
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_19_302.jpg;0;0;0;2.308682;104.278;90.57088;359.3505;41.35095;0.001797923
